id,device,timestamp,MESSAGES_address,MESSAGES_body,MESSAGES_date,MESSAGES_locked,MESSAGES_person,MESSAGES_protocol,MESSAGES_read,MESSAGES_reply_path_present,MESSAGES_service_center,MESSAGES_status,MESSAGES_subject,MESSAGES_thread_id,MESSAGES_type
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""953084ee813526fb5a363b8379450ff07299e843""}","{""ONE_WAY_HASH"":""b7b8f0a1e6d903049157be6a00157758a941445d""}",1363796862053,False,"{""ONE_WAY_HASH"":""7c8d848f32fa1c53815556ee08aa8ee5994c5a51""}",0,True,False,+14044550008,-1,,10,1
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""953084ee813526fb5a363b8379450ff07299e843""}","{""ONE_WAY_HASH"":""ce300dac21cf6362aaabae9f59fbc3b9abdc75e5""}",1363796115407,False,,0,True,False,,0,,10,2
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""953084ee813526fb5a363b8379450ff07299e843""}","{""ONE_WAY_HASH"":""a90fc5ed34f1305f117defd82c9f1ab1d19ea8ec""}",1363795493731,False,"{""ONE_WAY_HASH"":""7c8d848f32fa1c53815556ee08aa8ee5994c5a51""}",0,True,False,+12063130023,-1,,10,1
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""fd0c7e10455d7f9c50a5b39d75084cfd46db9cc8""}","{""ONE_WAY_HASH"":""95d75bae22bb1ea9e0eb87d587ff1d9da4b7c251""}",1363787240839,False,,0,True,False,,0,,10,2
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""1a985bd87eb85e4e3b5aee8504fed3cf2ecd45bd""}","{""ONE_WAY_HASH"":""9b0e81bf0ebb98fa03e04d0292538dd91bb161f7""}",1363731179462,False,,0,True,False,+12063130025,-1,,8,1
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""fb32b938dc8d7df5566428a8dcd3cfa3a7d23725""}","{""ONE_WAY_HASH"":""9985b1d9d1a0c5df763b12548ed3b8bc087c9303""}",1363652190771,False,"{""ONE_WAY_HASH"":""bdf59a109a30762380d851c187b7ec5256d89b72""}",0,True,False,+14044550007,-1,,9,1
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""fb32b938dc8d7df5566428a8dcd3cfa3a7d23725""}","{""ONE_WAY_HASH"":""2e724f56b83c06a74330561a9f6ffa97480ab461""}",1363644830254,False,"{""ONE_WAY_HASH"":""bdf59a109a30762380d851c187b7ec5256d89b72""}",0,True,False,+14044550007,-1,,9,1
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""fb32b938dc8d7df5566428a8dcd3cfa3a7d23725""}","{""ONE_WAY_HASH"":""e1894a283c7547c8e70bca7745ea29a8aa4725f1""}",1363644738388,False,,0,True,False,,0,,9,2
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""fb32b938dc8d7df5566428a8dcd3cfa3a7d23725""}","{""ONE_WAY_HASH"":""b8e6f04223d75a78f9f43de22393d7f7200c2f76""}",1363644549928,False,"{""ONE_WAY_HASH"":""bdf59a109a30762380d851c187b7ec5256d89b72""}",0,True,False,+14044550008,-1,,9,1
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""1a985bd87eb85e4e3b5aee8504fed3cf2ecd45bd""}","{""ONE_WAY_HASH"":""8fa3d474eac7a5163e3a2ecae0b3d1dc0dcd4b1f""}",1363640461419,False,,0,True,False,+12063130025,-1,,8,1
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""7a00737a0f0bff3ec9ea79cb7d2f5a907266d397""}","{""ONE_WAY_HASH"":""12f7932c02bd87e95b0f5be753008bc40c87ff2a""}",1363630033022,False,,0,True,False,,0,,7,2
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""a143d18a6176a6478a0e87b524b98fd6c5b302a5""}","{""ONE_WAY_HASH"":""de7973507d0547cb7b6417f0d61acb505182e9d7""}",1363440583360,False,,0,True,False,+12063130023,-1,,7,1
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""7a00737a0f0bff3ec9ea79cb7d2f5a907266d397""}","{""ONE_WAY_HASH"":""ba5d8cb1ca069dcc33aeaaaa5ddbe47fe8ad8bff""}",1363440381762,False,,0,True,False,,0,,7,2
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""1467d786d8b4c9ced81df351cb77d39f8924076f""}","{""ONE_WAY_HASH"":""1da20795f84bb9c5e16697aea34f14720e38fc37""}",1363375071351,False,"{""ONE_WAY_HASH"":""d64ce8d6017f0d3ab6d528cf5dfd616ae05c32b4""}",0,True,False,+14044550007,-1,,2,1
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""1467d786d8b4c9ced81df351cb77d39f8924076f""}","{""ONE_WAY_HASH"":""7a85f4764bbd6daf1c3545efbbf0f279a6dc0beb""}",1363375049049,False,,0,True,False,,0,,2,2
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""1467d786d8b4c9ced81df351cb77d39f8924076f""}","{""ONE_WAY_HASH"":""fe794afc804ef4b060b0650edd7219bac25bf560""}",1363375028034,False,"{""ONE_WAY_HASH"":""d64ce8d6017f0d3ab6d528cf5dfd616ae05c32b4""}",0,True,False,+14044550008,-1,,2,1
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""51eac6b471a284d3341d8c0c63d0f1a286262a18""}","{""ONE_WAY_HASH"":""22de2969e544aa028e630350908b8d6d7e46aa8e""}",1363201471759,False,,0,True,False,+12063130028,-1,,3,1
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""51eac6b471a284d3341d8c0c63d0f1a286262a18""}","{""ONE_WAY_HASH"":""22de2969e544aa028e630350908b8d6d7e46aa8e""}",1363201459246,False,,0,True,False,+12063130028,-1,,3,1
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""501ab5444eae9ad32b562570b36ff628ec3790ce""}","{""ONE_WAY_HASH"":""551cf2581c132552151fb09f42f045e10c7404da""}",1363091118384,False,,0,True,False,+14044550011,-1,,6,1
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""501ab5444eae9ad32b562570b36ff628ec3790ce""}","{""ONE_WAY_HASH"":""a53b951c4f0cc31c0eb76749a95aa3aadfeccb81""}",1362992962528,False,,0,True,False,+14044550011,-1,,6,1
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""a4b52396a80f1a0c0ee70b93de75ba37f6f81b31""}","{""ONE_WAY_HASH"":""237d6e6b1f14e547526c8ae14a598cd339a552f0""}",1362668510893,False,,0,True,False,,0,,5,2
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""ab47986c3bc42c8e7afbbf40beedb9067316b130""}","{""ONE_WAY_HASH"":""46619a5ec6051ba4ff35c822feae7b65140fe377""}",1362580327476,False,,0,True,False,+14044550007,-1,,4,1
649eb75d-33e7-4c56-88d0-2eec88e95e71-35,027c6245-b07f-4492-94e8-036454303f9c,1363967271,"{""ONE_WAY_HASH"":""51eac6b471a284d3341d8c0c63d0f1a286262a18""}","{""ONE_WAY_HASH"":""3f29100e6f10e11ceb67183aeea5cd37fc93944b""}",1362414291844,False,,0,True,False,+14044550011,-1,,3,1
9e154c9d-8c54-4814-8db8-8281428f1c70-27,027c6245-b07f-4492-94e8-036454303f9c,1364354489,,,,,,,,,,,,,
20835ea4-2832-48f8-ab62-a6b66ff0a713-197,027c6245-b07f-4492-94e8-036454303f9c,1364343689,,,,,,,,,,,,,
81088c12-6b35-4c2f-b1bf-7e33f828412b-27,027c6245-b07f-4492-94e8-036454303f9c,1364347289,,,,,,,,,,,,,
e00cd11e-c75e-418a-977d-8ef56451c0ea-27,027c6245-b07f-4492-94e8-036454303f9c,1364358089,,,,,,,,,,,,,
e1923de6-13b0-4332-8ebb-a18dafc0b871-27,027c6245-b07f-4492-94e8-036454303f9c,1364361689,,,,,,,,,,,,,
7aca3804-9045-4053-b244-3f68f1a952c1-28,027c6245-b07f-4492-94e8-036454303f9c,1364365289,,,,,,,,,,,,,
d6c944cb-ba24-46dd-9370-96edae3962d7-27,027c6245-b07f-4492-94e8-036454303f9c,1364368889,,,,,,,,,,,,,
60ac7546-92cc-47f9-83d5-117846c32137-26,027c6245-b07f-4492-94e8-036454303f9c,1364372489,,,,,,,,,,,,,
9cf5bba3-f647-418f-92f9-284eda3dbe3c-31,027c6245-b07f-4492-94e8-036454303f9c,1364376089,,,,,,,,,,,,,
caadec78-c23e-4da0-bea1-8235e797c985-27,027c6245-b07f-4492-94e8-036454303f9c,1364379689,,,,,,,,,,,,,
20e02542-54e8-4d5a-acd6-852ea8df41d1-35,027c6245-b07f-4492-94e8-036454303f9c,1364383289,,,,,,,,,,,,,
e81d2818-3c31-418f-803e-9877461b3c58-28,027c6245-b07f-4492-94e8-036454303f9c,1364386889,,,,,,,,,,,,,
f1fc7d6b-f550-459f-bd89-741bc030ebcd-38,027c6245-b07f-4492-94e8-036454303f9c,1364419289,,,,,,,,,,,,,
d684d9ea-5fab-4c19-bbc9-9f53c64ef93f-48,027c6245-b07f-4492-94e8-036454303f9c,1364422889,,,,,,,,,,,,,
48a588e1-8934-49be-8f4c-df597857a4a6-99,027c6245-b07f-4492-94e8-036454303f9c,1364426489,,,,,,,,,,,,,
c548add6-cd5e-473a-acd3-b428d16872dd-86,027c6245-b07f-4492-94e8-036454303f9c,1364437289,,,,,,,,,,,,,
64721e04-d3e7-4043-9827-c66650f4208b-30,027c6245-b07f-4492-94e8-036454303f9c,1364408489,,,,,,,,,,,,,
30f64ff9-4581-4105-90f7-093e2509ab1c-27,027c6245-b07f-4492-94e8-036454303f9c,1364390489,,,,,,,,,,,,,
4e4eb309-acac-4a9c-8511-f54e4b86d978-26,027c6245-b07f-4492-94e8-036454303f9c,1364404889,,,,,,,,,,,,,
1f0b2741-8e97-41df-b182-9f5f3d2ec5d6-56,027c6245-b07f-4492-94e8-036454303f9c,1364415689,,,,,,,,,,,,,
af0a53de-b97a-496e-a3fe-74c679704708-29,027c6245-b07f-4492-94e8-036454303f9c,1364412089,,,,,,,,,,,,,
2ee70618-5329-46ca-9eab-a179eb198bd2-103,027c6245-b07f-4492-94e8-036454303f9c,1364444489,,,,,,,,,,,,,
e77796f5-55ce-46ef-8eb7-4bed22085417-182,027c6245-b07f-4492-94e8-036454303f9c,1364433689,,,,,,,,,,,,,
8b5a288a-3007-4b0a-8b2b-98faf6196b26-26,027c6245-b07f-4492-94e8-036454303f9c,1364401289,,,,,,,,,,,,,
f2f22330-8f07-454c-b33d-7ad1a938f6f0-24,027c6245-b07f-4492-94e8-036454303f9c,1364394089,,,,,,,,,,,,,
f8ad2b7a-d912-48e9-871b-6c0105bcca45-83,027c6245-b07f-4492-94e8-036454303f9c,1364440889,,,,,,,,,,,,,
5ef8c0cd-e132-4326-8312-c2413d5d8891-31,027c6245-b07f-4492-94e8-036454303f9c,1364397689,,,,,,,,,,,,,
c3e4bbc0-5176-46db-85a7-cb0958e14d8c-52,027c6245-b07f-4492-94e8-036454303f9c,1364430089,,,,,,,,,,,,,
f532412e-a0f2-4a22-996b-935877daee7d-84,027c6245-b07f-4492-94e8-036454303f9c,1364448089,,,,,,,,,,,,,
da260fc6-4cef-48fc-9705-67800ce04837-86,027c6245-b07f-4492-94e8-036454303f9c,1364451689,,,,,,,,,,,,,
2cb294ab-ea46-40e5-87a4-3e0b20d7706e-92,027c6245-b07f-4492-94e8-036454303f9c,1364455289,,,,,,,,,,,,,
1225609c-d311-41af-b32f-09f691316349-103,027c6245-b07f-4492-94e8-036454303f9c,1364458889,,,,,,,,,,,,,
11de3bd2-5f4a-4e27-bd55-51e1b2cc24fb-90,027c6245-b07f-4492-94e8-036454303f9c,1364462489,,,,,,,,,,,,,
21301129-bc51-477b-98e5-42d50f393815-87,027c6245-b07f-4492-94e8-036454303f9c,1364466089,,,,,,,,,,,,,
40a2d52c-284e-4284-bb3a-b9cf8d3decc6-85,027c6245-b07f-4492-94e8-036454303f9c,1364469689,,,,,,,,,,,,,
168bc891-cbf8-4c83-b73a-3eb2abd0dfc3-74,027c6245-b07f-4492-94e8-036454303f9c,1364473289,,,,,,,,,,,,,
e2cacffd-3b9c-4c91-b097-cf26ceed37a2-84,027c6245-b07f-4492-94e8-036454303f9c,1364476889,,,,,,,,,,,,,
bbdffc78-88a6-4d8b-bed6-3f29f954b0af-109,027c6245-b07f-4492-94e8-036454303f9c,1364480489,,,,,,,,,,,,,
a85edfbd-3f67-42ca-a1eb-98af336f3bc3-92,027c6245-b07f-4492-94e8-036454303f9c,1364484089,,,,,,,,,,,,,
9fcb35eb-06b7-46a1-a493-8dcbc4e3a956-100,027c6245-b07f-4492-94e8-036454303f9c,1364509289,,,,,,,,,,,,,
0483e0d1-0392-4bbe-8d67-e37150ac3796-67,027c6245-b07f-4492-94e8-036454303f9c,1364487689,,,,,,,,,,,,,
d9884981-de78-4c23-aec7-071858be7c4c-78,027c6245-b07f-4492-94e8-036454303f9c,1364498489,,,,,,,,,,,,,
aa0701ef-81c3-4868-a89b-a2efbda01a61-96,027c6245-b07f-4492-94e8-036454303f9c,1364527289,,,,,,,,,,,,,
00e8e616-a421-48c8-a231-38ec3258887e-160,027c6245-b07f-4492-94e8-036454303f9c,1364516489,,,,,,,,,,,,,
190eb480-978f-4ed0-bd7a-2ccbedf3ddaf-86,027c6245-b07f-4492-94e8-036454303f9c,1364505689,,,,,,,,,,,,,
3dc78c0a-6349-445e-a7ae-cc541cd28044-197,027c6245-b07f-4492-94e8-036454303f9c,1364520089,,,,,,,,,,,,,
6f42d32d-3a8b-4c4a-a26e-315eb765aee0-46,027c6245-b07f-4492-94e8-036454303f9c,1364512889,,,,,,,,,,,,,
87ed6188-963b-428d-9bef-7c1a44efd0ee-118,027c6245-b07f-4492-94e8-036454303f9c,1364494889,,,,,,,,,,,,,
e1d7a9d0-0a25-4386-a9d0-a6d63c1ea03a-81,027c6245-b07f-4492-94e8-036454303f9c,1364491289,,,,,,,,,,,,,
31e678a2-5007-45b6-aa4c-fcc23e7f7395-110,027c6245-b07f-4492-94e8-036454303f9c,1364502089,,,,,,,,,,,,,
bcfc56b8-5483-426f-9245-5bb7d2d7f26b-95,027c6245-b07f-4492-94e8-036454303f9c,1364534489,,,,,,,,,,,,,
